S2,Band gap(eV),Reference Folder,Sample Folder
0.4794,1.8659,ager_2005,in037
0.3973,1.1,ager_2005,in070
0.3699,0.8,ager_2005,in085
0.2454,0.7,ager_2005,in100
0.4889,1.7383,davydov_2003,in36
0.3515,1.0577,davydov_2003,in85
0.2546,2.81,gartner_2006,in14
0.2068,2.9976,guo_2010,in09
0.3429,1.93,guo_2010,in70
0.2954,1.8277,guo_2010,in83
0.1729,1.54,guo_2010,in100
0.3011,2.7919,meher_2011,in18
0.4396,2.6487,meher_2011,in36
0.4582,2.5694,meher_2011,in50
0.5389,0.7408,robins_1999,in36
0.5603,0.5831,robins_1999,in50
